url,title,category,risk,proposed_action,evidence_required,redirect_target
"https://aicoopai.com/blog/5-essential-collaborative-tools-for-tech-entrepreneurs","5 Essential Collaborative Tools For Tech Entrepreneurs","CONSOLIDATE","medium","Merge useful material into a sourced evergreen resource and redirect after review","Reader need; current sources; differentiated guidance; factual review; canonical destination","/resources/"
"https://aicoopai.com/blog/5-must-read-books-for-aspiring-tech-entrepreneurs","5 Must Read Books For Aspiring Tech Entrepreneurs","CONSOLIDATE","medium","Merge useful material into a sourced evergreen resource and redirect after review","Reader need; current sources; differentiated guidance; factual review; canonical destination","/resources/"
"https://aicoopai.com/blog/a-beginner-s-guide-to-navigating-aicoop-ai-s-tech-community-platform","A Beginner S Guide To Navigating Aicoop Ai S Tech Community Platform","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/a-beginner-s-guide-to-sharing-ideas-on-aicoop-ai","A Beginner S Guide To Sharing Ideas On Aicoop Ai","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/a-guide-to-collaborative-tools-on-aicoop-ai-for-entrepreneurs","A Guide To Collaborative Tools On Aicoop Ai For Entrepreneurs","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/aicoop-ai--a-new-era-of-collaborative-resource-sharing-in-tech","Aicoop Ai: A New Era Of Collaborative Resource Sharing In Tech","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/aicoop-ai--empowering-entrepreneurs-in-walton-county-s-tech-scene","Aicoop Ai: Empowering Entrepreneurs In Walton County S Tech Scene","VERIFY_LOCAL","high","Verify local claims and sources or consolidate into an evidence-based Florida guide","Primary local source; organization; location; time period; link; permission when people are identified","/resources/"
"https://aicoopai.com/blog/aicoop-ai-vs--other-collaborative-platforms--what-sets-us-apart","Aicoop Ai Vs: Other Collaborative Platforms: What Sets Us Apart","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/aicoop-ai-vs--other-platforms--what-sets-us-apart-","Aicoop Ai Vs: Other Platforms: What Sets Us Apart","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
"https://aicoopai.com/blog/aicoop-ai-vs--other-platforms--what-sets-us-apart-for-tech-innovators","Aicoop Ai Vs: Other Platforms: What Sets Us Apart For Tech Innovators","SUBSTANTIATE","high","Substantiate current AiCoOpAI claims or rewrite as an explicitly aspirational concept","Current public feature; responsible owner; date; supporting link; outcome evidence where claimed","/about/"
